customer_id,column,dirt_type
LC106242,annual_inc,missing_marker
LC172078,annual_inc,missing_marker
LC111721,annual_inc,missing_marker
LC142708,annual_inc,missing_marker
LC181830,annual_inc,missing_marker
LC138656,annual_inc,missing_marker
LC121138,annual_inc,missing_marker
LC122629,annual_inc,missing_marker
LC136798,annual_inc,missing_marker
LC123059,annual_inc,missing_marker
LC174291,annual_inc,missing_marker
LC130201,annual_inc,missing_marker
LC167505,annual_inc,missing_marker
LC184022,annual_inc,missing_marker
LC155150,annual_inc,missing_marker
LC170103,annual_inc,missing_marker
LC128684,annual_inc,missing_marker
LC159271,annual_inc,missing_marker
LC102294,annual_inc,missing_marker
LC163437,annual_inc,missing_marker
LC190790,annual_inc,missing_marker
LC189682,annual_inc,missing_marker
LC124711,annual_inc,missing_marker
LC115230,annual_inc,missing_marker
LC117020,annual_inc,missing_marker
LC185252,annual_inc,missing_marker
LC122879,annual_inc,missing_marker
LC180947,annual_inc,missing_marker
LC101780,annual_inc,missing_marker
LC176107,annual_inc,missing_marker
LC179805,annual_inc,missing_marker
LC113583,annual_inc,missing_marker
LC129996,annual_inc,missing_marker
LC134669,annual_inc,missing_marker
LC175609,annual_inc,missing_marker
LC140860,annual_inc,missing_marker
LC148670,annual_inc,missing_marker
LC173500,annual_inc,missing_marker
LC157508,annual_inc,missing_marker
LC185820,annual_inc,missing_marker
LC194107,annual_inc,missing_marker
LC135776,annual_inc,missing_marker
LC150586,annual_inc,missing_marker
LC113520,annual_inc,missing_marker
LC127322,annual_inc,missing_marker
LC115869,annual_inc,missing_marker
LC176729,annual_inc,missing_marker
LC140258,annual_inc,missing_marker
LC142688,annual_inc,missing_marker
LC175988,annual_inc,missing_marker
LC186217,annual_inc,missing_marker
LC117456,annual_inc,missing_marker
LC160873,annual_inc,missing_marker
LC199012,annual_inc,missing_marker
LC185084,annual_inc,missing_marker
LC137666,annual_inc,missing_marker
LC193680,annual_inc,missing_marker
LC110494,annual_inc,missing_marker
LC162573,annual_inc,missing_marker
LC177220,annual_inc,missing_marker
LC166871,annual_inc,missing_marker
LC181780,annual_inc,missing_marker
LC145183,annual_inc,missing_marker
LC175724,annual_inc,missing_marker
LC106141,annual_inc,missing_marker
LC172059,annual_inc,missing_marker
LC136565,annual_inc,missing_marker
LC175102,annual_inc,missing_marker
LC115558,annual_inc,missing_marker
LC153937,annual_inc,missing_marker
LC122181,annual_inc,missing_marker
LC127033,annual_inc,missing_marker
LC147651,annual_inc,missing_marker
LC135110,annual_inc,missing_marker
LC116946,annual_inc,missing_marker
LC182478,annual_inc,missing_marker
LC142778,annual_inc,missing_marker
LC160283,annual_inc,missing_marker
LC135298,annual_inc,missing_marker
LC140864,annual_inc,missing_marker
LC148219,annual_inc,missing_marker
LC171112,annual_inc,missing_marker
LC183600,annual_inc,missing_marker
LC181127,annual_inc,missing_marker
LC187651,annual_inc,missing_marker
LC135770,annual_inc,missing_marker
LC176925,annual_inc,missing_marker
LC110993,annual_inc,missing_marker
LC124961,annual_inc,missing_marker
LC199568,annual_inc,missing_marker
LC113952,annual_inc,missing_marker
LC168317,annual_inc,missing_marker
LC171246,annual_inc,missing_marker
LC125864,annual_inc,missing_marker
LC172478,annual_inc,missing_marker
LC111948,annual_inc,missing_marker
LC114009,annual_inc,missing_marker
LC101609,annual_inc,missing_marker
LC147768,annual_inc,missing_marker
LC140712,annual_inc,missing_marker
